s,C
Time,"T air 1"
 3.7808417E+001, 2.8542407E+002
 3.7864932E+001, 2.9266963E+002
 3.7921448E+001, 3.2193362E+002
 3.7987763E+001, 3.9026309E+002
 3.8051193E+001, 4.0381348E+002
 3.8107012E+001, 3.8592124E+002
 3.8162830E+001, 3.4878754E+002
 3.8228280E+001, 3.1172226E+002
 3.8293349E+001, 2.9870044E+002
 3.8342632E+001, 3.0090637E+002
 3.8410396E+001, 3.1219981E+002
 3.8464608E+001, 3.4252921E+002
 3.8532372E+001, 3.7436014E+002
 3.8586583E+001, 3.6557877E+002
 3.8646216E+001, 3.3822540E+002
 3.8705848E+001, 3.2825560E+002
 3.8765481E+001, 3.2958831E+002
 3.8825113E+001, 3.3442378E+002
 3.8891289E+001, 3.3647524E+002
 3.8944229E+001, 3.4126560E+002
 3.9010404E+001, 3.5234202E+002
 3.9063345E+001, 3.6655112E+002
 3.9129520E+001, 3.7775873E+002
 3.9182461E+001, 3.8422948E+002
 3.9248636E+001, 3.8353903E+002
 3.9306870E+001, 3.5609175E+002
 3.9365105E+001, 3.2770460E+002
 3.9423339E+001, 3.1357035E+002
 3.9481574E+001, 3.0469230E+002
 3.9554366E+001, 3.0083458E+002
 3.9612601E+001, 2.9758020E+002
 3.9670835E+001, 2.9661466E+002
 3.9729070E+001, 2.9690864E+002
 3.9787304E+001, 2.9723252E+002
 3.9845538E+001, 2.9972404E+002
 3.9903773E+001, 3.0253019E+002
 3.9962007E+001, 3.0389344E+002
 4.0024609E+001, 3.0485762E+002
 4.0088667E+001, 3.0690052E+002
 4.0152725E+001, 3.1041963E+002
 4.0200768E+001, 3.1358758E+002
 4.0271643E+001, 3.1712864E+002
 4.0323111E+001, 3.2176160E+002
 4.0394554E+001, 3.2623465E+002
 4.0453865E+001, 3.2107580E+002
 4.0513176E+001, 3.0937300E+002
 4.0572487E+001, 3.0559344E+002
 4.0631797E+001, 3.0574741E+002
 4.0691108E+001, 3.1065191E+002
 4.0750419E+001, 3.3137398E+002
 4.0809730E+001, 3.6244872E+002
 4.0869041E+001, 3.7554666E+002
 4.0932288E+001, 3.6761009E+002
 4.0989550E+001, 3.5591440E+002
 4.1046813E+001, 3.4133366E+002
 4.1104075E+001, 3.2661641E+002
 4.1161337E+001, 3.2007830E+002
 4.1232915E+001, 3.2142000E+002
 4.1290177E+001, 3.2812049E+002
 4.1347439E+001, 3.3517382E+002
 4.1404702E+001, 3.4289419E+002
 4.1461964E+001, 3.5347152E+002
 4.1533542E+001, 3.6233209E+002
 4.1590804E+001, 3.7017783E+002
 4.1648066E+001, 3.7186012E+002
 4.1705328E+001, 3.6868363E+002
