s,C,mol/mol,mol/mol
Time,"TEMP_KITCHEN","O2_KITCHEN","CO_KITCHEN"
 5.1661160E+001, 3.1550191E+002, 1.6761369E-001, 5.2333999E-004
 5.1852442E+001, 4.1623820E+002, 1.5919553E-001, 6.3364806E-004
 5.2030972E+001, 7.0045593E+002, 1.2887171E-001, 1.0306188E-003
 5.2200417E+001, 4.9951666E+002, 1.4929760E-001, 7.6301006E-004
 5.2384068E+001, 3.3257025E+002, 1.6617576E-001, 5.4220767E-004
 5.2565775E+001, 3.8292288E+002, 1.6010660E-001, 6.2164402E-004
 5.2742021E+001, 3.1091569E+002, 1.6681117E-001, 5.3387428E-004
 5.2924351E+001, 2.9521266E+002, 1.6804365E-001, 5.1773538E-004
 5.3111144E+001, 2.7991187E+002, 1.6951013E-001, 4.9852611E-004
 5.3289641E+001, 2.7238907E+002, 1.7034467E-001, 4.8759345E-004
 5.3465025E+001, 6.1395320E+002, 1.3356685E-001, 9.6835545E-004
 5.3644752E+001, 7.6902064E+002, 1.1759861E-001, 1.1739587E-003
 5.3822938E+001, 4.5115859E+002, 1.5219044E-001, 7.2533339E-004
 5.4008831E+001, 3.6806058E+002, 1.6043454E-001, 6.1740866E-004
 5.4189807E+001, 3.4086049E+002, 1.6212759E-001, 5.9515104E-004
 5.4366917E+001, 8.3587129E+002, 9.9465901E-002, 1.4119265E-003
 5.4541125E+001, 4.5778628E+002, 1.4897737E-001, 7.6720862E-004
 5.4728669E+001, 3.9276570E+002, 1.5799094E-001, 6.4937971E-004
 5.4904178E+001, 3.5918022E+002, 1.6131679E-001, 6.0587351E-004
 5.5085602E+001, 4.1162372E+002, 1.5564866E-001, 6.8001032E-004
 5.5270520E+001, 4.6502013E+002, 1.4958687E-001, 7.5941743E-004
 5.5447286E+001, 4.0001092E+002, 1.5612453E-001, 6.7389212E-004
 5.5629506E+001, 2.9821721E+002, 1.6584967E-001, 5.4648813E-004
